sale_date,sale_price,latitude,longitude,city,zoning,land_val,imp_val,year_built,sqft_lot,sqft,grade,fbsmt_grade,home_condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_otherwater,year,zipcode
2019-05-23,1395000,47.56039012,-122.2753389,SEATTLE,SF 5000,54000,53000,1920,7200,830,5,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98118
2019-05-30,715000,47.58095521,-122.3956469,SEATTLE,SF 5000,75000,75200,1960,5500,1230,7,0,4,1.0,3,1,0,1,0,260,0,0,0,0,0,0,0,0,0,0,0,0,2019,98116
2019-06-07,2525000,47.66790691,-122.3305863,SEATTLE,SF 5000,92000,178000,1911,5625,1870,6,5,5,1.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
2019-06-11,2125000,47.71764789,-122.3613142,SEATTLE,SF 7200,72000,113000,1939,8320,1090,8,0,3,1.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019,98177
2019-06-14,1250000,47.65518747,-122.3414729,SEATTLE,SF 5000,98000,154000,1926,4860,1440,7,0,4,1.5,4,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
2019-06-18,880000,47.64095494,-122.3626505,SEATTLE,SF 5000,115000,143000,1910,4800,1400,8,0,5,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98119
2019-06-20,1430000,47.58282936,-122.3985831,SEATTLE,SF 7200,216000,58000,1942,12870,1350,7,7,3,1.0,3,1,1,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,2019,98116
2019-06-25,742500,47.71077625,-122.3128341,SEATTLE,SF 7200,56000,72000,1942,6850,1350,7,5,4,1.0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019,98125
2019-06-06,300000,47.53598857,-122.3530082,SEATTLE,SF 7200,46000,89000,1918,19136,1020,6,0,4,1.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-07-04,1409000,47.72041883,-122.3537988,SEATTLE,SF 7200,56700,43900,1940,7650,750,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98133
2019-07-15,870000,47.69161514,-122.3973675,SEATTLE,SF 7200,105000,135000,1926,11005,1170,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98117
2019-07-14,557000,47.52772576,-122.3581437,SEATTLE,SF 5000,40000,104000,1927,5146,1400,6,0,4,1.5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-07-26,630000,47.54734999,-122.3847786,SEATTLE,SF 5000,83000,57000,1921,6000,780,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98136
2019-07-05,478000,47.52055168,-122.3614482,SEATTLE,SF 5000,44000,59000,1942,5680,720,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98106
2019-07-31,775000,47.69621345,-122.2903187,SEATTLE,SF 5000,79000,58000,1943,5916,790,7,0,2,1.0,2,1,0,0,290,0,0,0,0,2,0,0,0,0,0,0,0,0,2019,98115
2019-08-15,545000,47.60709137,-122.3067181,SEATTLE,SF 5000,31000,93000,1922,5120,980,7,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98122
2019-08-09,599000,47.54392778,-122.3197642,SEATTLE,SF 5000,21000,76000,1943,4000,670,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98108
2019-08-16,525000,47.59340701,-122.3008413,SEATTLE,SF 5000,34000,148000,1910,4000,1130,6,0,5,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98144
2019-09-01,640000,47.6638696,-122.3642204,SEATTLE,SF 5000,92000,67000,1944,4850,800,7,0,4,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98107
2019-09-18,675000,47.7146035,-122.3088883,SEATTLE,SF 7200,77000,76000,1940,8100,1190,6,0,3,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98125
2019-09-16,635000,47.6953566,-122.350889,SEATTLE,SF 5000,72000,109000,1920,7228,1360,7,0,4,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,98103
